Date,Daily flying hours,7 day rolling average
2019-12-01,142469.56694444525,155763.80354166677
2019-12-02,159705.46416666626,157873.54922222212
2019-12-03,159376.05944444434,159637.30199074053
2019-12-04,161504.12361111114,158993.35984126967
2019-12-05,166312.53194444347,160768.5253571424
2019-12-06,168456.06583333263,160823.8265079363
2019-12-07,155129.7069444445,160996.70547619017
2019-12-08,154895.72555555456,161354.48757936482
2019-12-09,160092.57222222342,161940.11769841245
2019-12-10,160586.21222222142,159114.3048412696
2019-12-11,164008.59833333382,159778.40449074048
2019-12-12,170411.9427777769,159987.3704629628
2019-12-13,148675.37583333268,160829.43134259226
2019-12-14,,157578.78064814798
2019-12-15,156149.5213888887,157914.74898148127
2019-12-16,165144.93749999988,159162.85263888873
2019-12-17,141082.30805555568,164831.08759259272
2019-12-18,166024.40833333353,163167.75884920644
2019-12-19,177900.56472222164,164767.60916666687
2019-12-20,182684.78555555668,164966.733888889
2019-12-21,153187.78638888896,166077.33952380955
2019-12-22,167348.47361111164,160243.41246031734
2019-12-23,166538.81055555498,157567.12249999997
2019-12-24,148856.54749999967,152971.33503968228
2019-12-25,125186.91888888786,154708.1396031743
2019-12-26,159166.53499999995,154407.4707936507
2019-12-27,150514.273333333,153661.95623015866
2019-12-28,165345.41833333296,154031.17063492056
2019-12-29,165243.7919444464,156368.9366269841
2019-12-30,161320.20861111066,153981.83507936497
2019-12-31,151441.04833333316,156250.82567460317
2020-01-01,141551.28083333265,156438.31571428585
2020-01-02,142456.8241666661,156999.48952380926
2020-01-03,166397.20750000037,157591.71575396808
2020-01-04,166657.8486111117,155626.50988095228
2020-01-05,169172.00861111027,157369.87706349205
2020-01-06,165465.79222222237,160109.21253968263
2020-01-07,137684.6072222225,159915.395357143
2020-01-08,153754.85111111094,157928.81714285718
2020-01-09,161632.17250000013,152964.79734126996
2020-01-10,165040.4872222229,151527.0882936509
2020-01-11,152751.80111111095,153674.7506746032
2020-01-12,134423.86999999988,154149.02019841262
2020-01-13,155401.82888888865,154010.88892857125
2020-01-14,152718.24388888842,153834.22321428527
2020-01-15,157074.73777777705,151972.77555555507
2020-01-16,160665.25361111067,151769.61242063454
2020-01-17,163803.82722222118,152325.31119047586
2020-01-18,139721.6674999995,150264.3064682537
2020-01-19,133001.728055556,149743.40119047597
2020-01-20,159291.72027777781,150140.50702380942
2020-01-21,138291.21083333343,150642.71662698407
2020-01-22,153428.40083333285,149578.40789682532
2020-01-23,163444.99444444478,152319.90579365057
2020-01-24,167319.2944444439,152056.05781745995
2020-01-25,132271.50638888823,154218.34214285665
2020-01-26,152192.21333333285,154407.82742063448
2020-01-27,157444.78444444342,151070.12186507884
2020-01-28,153427.2011111104,150379.03103174566
2020-01-29,154754.7977777777,153514.44956349183
