,Date,Typecode,Daily flying hours,Ranking
0,2019-12-01,,30372.185277777833,1
1,2019-12-01,B738,18765.310833333315,2
2,2019-12-01,A320,14598.552500000014,3
3,2019-12-01,A321,6774.37527777778,4
4,2019-12-02,,34360.29388888898,1
5,2019-12-02,B738,20019.71250000001,2
6,2019-12-02,A320,15919.345833333344,3
7,2019-12-02,A321,7463.9447222222225,4
8,2019-12-03,,35515.65861111104,1
9,2019-12-03,B738,18339.637500000026,2
10,2019-12-03,A320,14949.513888888883,3
11,2019-12-03,A321,6928.5019444444415,4
12,2019-12-04,,36022.709999999934,1
13,2019-12-04,B738,18048.36805555555,2
14,2019-12-04,A320,14976.326388888916,3
15,2019-12-04,B77W,7160.360277777776,4
16,2019-12-05,,37681.113611111155,1
17,2019-12-05,B738,18763.81499999998,2
18,2019-12-05,A320,15431.39361111112,3
19,2019-12-05,B77W,7416.049444444439,4
20,2019-12-06,,38126.93805555551,1
21,2019-12-06,B738,19859.12333333335,2
22,2019-12-06,A320,16230.181111111095,3
23,2019-12-06,B77W,7440.570833333337,4
24,2019-12-07,,36862.97333333332,1
25,2019-12-07,B738,18647.887222222213,2
26,2019-12-07,A320,15344.093611111106,3
27,2019-12-07,B77W,7393.803055555557,4
28,2019-12-08,,34158.0152777779,1
29,2019-12-08,B738,19357.607499999976,2
30,2019-12-08,A320,15873.429166666678,3
31,2019-12-08,B77W,7411.4138888888865,4
32,2019-12-09,,33775.073888889034,1
33,2019-12-09,B738,19448.564166666634,2
34,2019-12-09,A320,16137.44472222217,3
35,2019-12-09,A321,7336.087777777782,4
36,2019-12-10,,34992.612499999996,1
37,2019-12-10,B738,17854.020277777723,2
38,2019-12-10,A320,14964.824444444414,3
39,2019-12-10,B77W,7070.446111111112,4
40,2019-12-11,,37273.717222222156,1
41,2019-12-11,B738,17903.64222222224,2
42,2019-12-11,A320,15098.41416666663,3
43,2019-12-11,B77W,7262.856944444442,4
44,2019-12-12,,39120.07166666673,1
45,2019-12-12,B738,19176.489166666746,2
46,2019-12-12,A320,15912.80888888891,3
47,2019-12-12,A321,7229.159166666668,4
48,2019-12-13,,33542.25749999995,1
49,2019-12-13,B738,17898.681666666685,2
50,2019-12-13,A320,15358.925,3
51,2019-12-13,A321,6780.336111111106,4
52,2019-12-15,,35532.296388888935,1
53,2019-12-15,B738,19604.790833333333,2
54,2019-12-15,A320,16350.503888888907,3
55,2019-12-15,B77W,7229.10416666667,4
56,2019-12-16,,36434.84166666671,1
57,2019-12-16,B738,20407.367500000037,2
58,2019-12-16,A320,16877.195,3
59,2019-12-16,A321,7494.539444444445,4
60,2019-12-17,,31368.873611111223,1
61,2019-12-17,B738,16190.075000000013,2
62,2019-12-17,A320,14358.105277777771,3
63,2019-12-17,A321,6328.314166666665,4
64,2019-12-18,,38172.595555555614,1
65,2019-12-18,B738,18632.37388888889,2
66,2019-12-18,A320,16071.201388888878,3
67,2019-12-18,A321,7128.033333333335,4
68,2019-12-19,,41402.20555555558,1
69,2019-12-19,B738,21036.223333333342,2
70,2019-12-19,A320,17115.940833333352,3
71,2019-12-19,A321,7694.638611111108,4
72,2019-12-20,,42662.033333333544,1
73,2019-12-20,B738,21528.496111111097,2
74,2019-12-20,A320,17723.213888888913,3
75,2019-12-20,A321,7980.6141666666645,4
76,2019-12-21,,36208.441388888874,1
77,2019-12-21,B738,19025.890277777762,2
78,2019-12-21,A320,15677.155555555566,3
79,2019-12-21,A321,7238.766666666665,4
80,2019-12-22,,37844.190833333305,1
81,2019-12-22,B738,21677.764999999974,2
82,2019-12-22,A320,17453.286666666638,3
83,2019-12-22,A321,8023.750555555571,4
84,2019-12-23,,37080.68111111113,1
85,2019-12-23,B738,21517.734444444402,2
86,2019-12-23,A320,17213.72388888889,3
87,2019-12-23,A321,7827.3280555555475,4
88,2019-12-24,,31528.385000000028,1
89,2019-12-24,B738,18947.594722222217,2
90,2019-12-24,A320,16001.849166666663,3
91,2019-12-24,A321,7372.771944444442,4
